figure_id,phase,experiment_name,split,horizon_steps,ablation_variant,model,raman_method,mean_nrmse,std_nrmse,mean_r2,std_r2,relative_change_vs_no_raman_percent,seed_count
Fig44_phase15_multimodal_residual_ablation,Phase 15,Strict gap completion against revision requirements,test_normal,1,No Raman,residual_process_tcn,none,0.023666114360094,0.0001516481562687,0.9955137133598329,3.827028070618242e-05,0.0,5
Fig44_phase15_multimodal_residual_ablation,Phase 15,Strict gap completion against revision requirements,test_normal,1,Concat,residual_naive_raman_tcn,airpls_snv,0.0254798423498868,0.0003441285934887,0.9949915885925292,0.0001260113762025,7.66381824323109,5
Fig44_phase15_multimodal_residual_ablation,Phase 15,Strict gap completion against revision requirements,test_normal,1,Gate,residual_global_gate_tcn,airpls_snv,0.02499674372375,0.0005049518682867,0.9951365947723388,0.0001187614402898,5.622508804824151,5
Fig44_phase15_multimodal_residual_ablation,Phase 15,Strict gap completion against revision requirements,test_normal,1,Attention,residual_attention_tcn,airpls_snv,0.0233048189431428,9.409346743784152e-05,0.995614778995514,3.716820147521589e-05,-1.526635980262136,5
Fig44_phase15_multimodal_residual_ablation,Phase 15,Strict gap completion against revision requirements,test_normal,1,Target Gate,residual_target_gate_tcn,airpls_snv,0.0248424150049685,0.0005397664554415,0.9951645970344544,0.0001254014130771,4.970400408687563,5
Fig44_phase15_multimodal_residual_ablation,Phase 15,Strict gap completion against revision requirements,test_normal,5,No Raman,residual_process_tcn,none,0.0532448798418044,0.0004251445934494,0.9663920998573304,0.0005209788344886,0.0,5
Fig44_phase15_multimodal_residual_ablation,Phase 15,Strict gap completion against revision requirements,test_normal,5,Concat,residual_naive_raman_tcn,airpls_snv,0.0571715757250785,0.0007747130780298,0.9588912487030028,0.0008054341029385,7.374785885404643,5
Fig44_phase15_multimodal_residual_ablation,Phase 15,Strict gap completion against revision requirements,test_normal,5,Gate,residual_global_gate_tcn,airpls_snv,0.0524328351020812,0.0023468564280197,0.9638782978057862,0.0021545091425395,-1.5251132918994013,5
Fig44_phase15_multimodal_residual_ablation,Phase 15,Strict gap completion against revision requirements,test_normal,5,Attention,residual_attention_tcn,airpls_snv,0.0530616365373134,0.0007265069638987,0.9642669916152954,0.0015160019101973,-0.3441519729887976,5
Fig44_phase15_multimodal_residual_ablation,Phase 15,Strict gap completion against revision requirements,test_normal,5,Target Gate,residual_target_gate_tcn,airpls_snv,0.050365962833166,0.0015631441630474,0.965908932685852,0.0013977742450853,-5.406936811937478,5
Fig44_phase15_multimodal_residual_ablation,Phase 15,Strict gap completion against revision requirements,test_normal,20,No Raman,residual_process_tcn,none,0.0831779420375823,0.0003312798040709,0.9172542572021484,0.0003860221006058,0.0,5
Fig44_phase15_multimodal_residual_ablation,Phase 15,Strict gap completion against revision requirements,test_normal,20,Concat,residual_naive_raman_tcn,airpls_snv,0.0914033845067023,0.0010535879884864,0.9075335741043092,0.0018092210358296,9.888970882933757,5
Fig44_phase15_multimodal_residual_ablation,Phase 15,Strict gap completion against revision requirements,test_normal,20,Gate,residual_global_gate_tcn,airpls_snv,0.0907658219337462,0.0004916078183577,0.9079125404357912,0.0017165251386547,9.12246649807171,5
Fig44_phase15_multimodal_residual_ablation,Phase 15,Strict gap completion against revision requirements,test_normal,20,Attention,residual_attention_tcn,airpls_snv,0.0841940030455588,0.0006652463372319,0.9153008222579956,0.0013392980254238,1.2215510303410098,5
Fig44_phase15_multimodal_residual_ablation,Phase 15,Strict gap completion against revision requirements,test_normal,20,Target Gate,residual_target_gate_tcn,airpls_snv,0.0899766340851783,0.000219573450209,0.9101787805557252,0.0010388378236866,8.17367186666406,5
Fig44_phase15_multimodal_residual_ablation,Phase 15,Strict gap completion against revision requirements,test_normal,40,No Raman,residual_process_tcn,none,0.1325553685426711,0.0011105845712133,0.7451692461967468,0.0034972112540213,0.0,5
Fig44_phase15_multimodal_residual_ablation,Phase 15,Strict gap completion against revision requirements,test_normal,40,Concat,residual_naive_raman_tcn,airpls_snv,0.1413275271654128,0.0005658211596322,0.7272754788398743,0.0040239188377793,6.617731683887123,5
Fig44_phase15_multimodal_residual_ablation,Phase 15,Strict gap completion against revision requirements,test_normal,40,Gate,residual_global_gate_tcn,airpls_snv,0.1396767914295196,0.0011701793012563,0.7288496613502502,0.0061181491681734,5.372413780854129,5
Fig44_phase15_multimodal_residual_ablation,Phase 15,Strict gap completion against revision requirements,test_normal,40,Attention,residual_attention_tcn,airpls_snv,0.1325654387474059,0.0014725954528607,0.7500652432441711,0.0092717682381111,0.007596979922804,5
Fig44_phase15_multimodal_residual_ablation,Phase 15,Strict gap completion against revision requirements,test_normal,40,Target Gate,residual_target_gate_tcn,airpls_snv,0.1391534239053725,0.0012968280053459,0.7416354537010192,0.0088986653061518,4.97758441264295,5
Fig44_phase15_multimodal_residual_ablation,Phase 15,Strict gap completion against revision requirements,test_normal,60,No Raman,residual_process_tcn,none,0.1483792811632155,0.0004671258496133,-87.075,1.6679988541883408,0.0,5
Fig44_phase15_multimodal_residual_ablation,Phase 15,Strict gap completion against revision requirements,test_normal,60,Concat,residual_naive_raman_tcn,airpls_snv,0.1541925609111785,0.0015806312358887,-85.6139419555664,2.588791238104847,3.917851402426212,5
Fig44_phase15_multimodal_residual_ablation,Phase 15,Strict gap completion against revision requirements,test_normal,60,Gate,residual_global_gate_tcn,airpls_snv,0.1532071501016616,0.0004408049718971,-82.80944213867187,8.777244624217618,3.253735225429117,5
Fig44_phase15_multimodal_residual_ablation,Phase 15,Strict gap completion against revision requirements,test_normal,60,Attention,residual_attention_tcn,airpls_snv,0.149217054247856,0.0017339231080712,-81.24795684814453,4.440585814977961,0.5646159477743808,5
Fig44_phase15_multimodal_residual_ablation,Phase 15,Strict gap completion against revision requirements,test_normal,60,Target Gate,residual_target_gate_tcn,airpls_snv,0.1515197217464446,0.0020059597883082,-71.28855972290039,9.44296371507129,2.1164953480093005,5
Fig44_phase15_multimodal_residual_ablation,Phase 15,Strict gap completion against revision requirements,test_fault,1,No Raman,residual_process_tcn,none,0.1406723856925963,0.0007366378917941,0.98526828289032,0.0002838856864349,0.0,5
Fig44_phase15_multimodal_residual_ablation,Phase 15,Strict gap completion against revision requirements,test_fault,1,Concat,residual_naive_raman_tcn,airpls_snv,0.1426386833190918,0.0005720947286354,0.9845422387123108,0.0002474351753563,1.397785085405645,5
Fig44_phase15_multimodal_residual_ablation,Phase 15,Strict gap completion against revision requirements,test_fault,1,Gate,residual_global_gate_tcn,airpls_snv,0.1440569281578063,0.0021780319872599,0.9838085532188416,0.0010192166236647,2.4059750238444284,5
Fig44_phase15_multimodal_residual_ablation,Phase 15,Strict gap completion against revision requirements,test_fault,1,Attention,residual_attention_tcn,airpls_snv,0.1401149839162826,0.0005300579789534,0.9854853987693788,0.0001880041831144,-0.3962410771449029,5
Fig44_phase15_multimodal_residual_ablation,Phase 15,Strict gap completion against revision requirements,test_fault,1,Target Gate,residual_target_gate_tcn,airpls_snv,0.1437403261661529,0.0012580053718008,0.984004807472229,0.0006102717231429,2.180911668236542,5
Fig44_phase15_multimodal_residual_ablation,Phase 15,Strict gap completion against revision requirements,test_fault,5,No Raman,residual_process_tcn,none,0.3098777234554291,0.001458938718938,0.9339173197746276,0.0005118218042337,0.0,5
Fig44_phase15_multimodal_residual_ablation,Phase 15,Strict gap completion against revision requirements,test_fault,5,Concat,residual_naive_raman_tcn,airpls_snv,0.3165293395519256,0.0012612523557995,0.9314949989318848,0.0005134059569805,2.1465292897871984,5
Fig44_phase15_multimodal_residual_ablation,Phase 15,Strict gap completion against revision requirements,test_fault,5,Gate,residual_global_gate_tcn,airpls_snv,0.3137791991233826,0.0026104371710515,0.9324793577194214,0.00099443210444,1.2590371532514109,5
Fig44_phase15_multimodal_residual_ablation,Phase 15,Strict gap completion against revision requirements,test_fault,5,Attention,residual_attention_tcn,airpls_snv,0.3024889886379241,0.0086985796545961,0.936451268196106,0.0030346693050214,-2.384403349525593,5
Fig44_phase15_multimodal_residual_ablation,Phase 15,Strict gap completion against revision requirements,test_fault,5,Target Gate,residual_target_gate_tcn,airpls_snv,0.3176997125148773,0.0046063777154807,0.9309074997901916,0.0016744880501342,2.5242179309392228,5
Fig44_phase15_multimodal_residual_ablation,Phase 15,Strict gap completion against revision requirements,test_fault,20,No Raman,residual_process_tcn,none,0.5482340931892395,0.0053536899896154,0.8335141897201538,0.0030571093129476,0.0,5
Fig44_phase15_multimodal_residual_ablation,Phase 15,Strict gap completion against revision requirements,test_fault,20,Concat,residual_naive_raman_tcn,airpls_snv,0.5383911728858948,0.0019961920256926,0.8391872644424438,0.0011097610481957,-1.7953863916207031,5
Fig44_phase15_multimodal_residual_ablation,Phase 15,Strict gap completion against revision requirements,test_fault,20,Gate,residual_global_gate_tcn,airpls_snv,0.5370307803153992,0.0010686726838743,0.8399932026863098,0.0006259054283199,-2.0435272109159386,5
Fig44_phase15_multimodal_residual_ablation,Phase 15,Strict gap completion against revision requirements,test_fault,20,Attention,residual_attention_tcn,airpls_snv,0.5434316396713257,0.0018684825503057,0.8357448935508728,0.0013774595729719,-0.8759859296558106,5
Fig44_phase15_multimodal_residual_ablation,Phase 15,Strict gap completion against revision requirements,test_fault,20,Target Gate,residual_target_gate_tcn,airpls_snv,0.5360633850097656,0.0006347207420604,0.8405136704444885,0.0003213273867473,-2.219983822726778,5
Fig44_phase15_multimodal_residual_ablation,Phase 15,Strict gap completion against revision requirements,test_fault,40,No Raman,residual_process_tcn,none,0.8097360491752624,0.0034785769055611,0.6271358132362366,0.0026169253795452,0.0,5
Fig44_phase15_multimodal_residual_ablation,Phase 15,Strict gap completion against revision requirements,test_fault,40,Concat,residual_naive_raman_tcn,airpls_snv,0.8111101031303406,0.0011974542491903,0.6245786428451539,0.0008135900548741,0.1696915873361053,5
Fig44_phase15_multimodal_residual_ablation,Phase 15,Strict gap completion against revision requirements,test_fault,40,Gate,residual_global_gate_tcn,airpls_snv,0.8125146150588989,0.0031673122736979,0.6234999537467957,0.0027360599780292,0.3431446440437591,5
Fig44_phase15_multimodal_residual_ablation,Phase 15,Strict gap completion against revision requirements,test_fault,40,Attention,residual_attention_tcn,airpls_snv,0.8084756135940552,0.0043804878945708,0.6258658528327942,0.0027169645062684,-0.1556600552107122,5
Fig44_phase15_multimodal_residual_ablation,Phase 15,Strict gap completion against revision requirements,test_fault,40,Target Gate,residual_target_gate_tcn,airpls_snv,0.8080546617507934,0.0030056215460693,0.6266594648361206,0.00240170886703,-0.2076463591044923,5
Fig44_phase15_multimodal_residual_ablation,Phase 15,Strict gap completion against revision requirements,test_fault,60,No Raman,residual_process_tcn,none,0.9920471668243408,0.0028451632936623,0.2846118330955505,0.0021039156322899,0.0,5
Fig44_phase15_multimodal_residual_ablation,Phase 15,Strict gap completion against revision requirements,test_fault,60,Concat,residual_naive_raman_tcn,airpls_snv,0.989838719367981,0.0007400290086665,0.2808693587779999,0.0017972202376815,-0.2226151669208773,5
Fig44_phase15_multimodal_residual_ablation,Phase 15,Strict gap completion against revision requirements,test_fault,60,Gate,residual_global_gate_tcn,airpls_snv,0.9942574620246888,0.0085992746860518,0.2781407415866851,0.0068118900810043,0.222801422579865,5
Fig44_phase15_multimodal_residual_ablation,Phase 15,Strict gap completion against revision requirements,test_fault,60,Attention,residual_attention_tcn,airpls_snv,0.989205837249756,0.0026342449322913,0.2829653441905975,0.0050774325490801,-0.2864107342476837,5
Fig44_phase15_multimodal_residual_ablation,Phase 15,Strict gap completion against revision requirements,test_fault,60,Target Gate,residual_target_gate_tcn,airpls_snv,0.9840664386749268,0.004668724818626,0.2894631326198578,0.0056517955290351,-0.8044706357018618,5
