target,split,model_family,backend,preprocessing,n_seeds,n_samples_per_seed_min,n_samples_per_seed_max,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std,pearson_r_mean,pearson_r_std,nrmse_train_std_mean,nrmse_train_std_std,nrmse_train_range_mean,nrmse_train_range_std,paper_use_recommendation
BTM [g/L],External F4+F5,XGBoostOrHistGB,xgboost,airpls_snv,3,29,29,12.677424827846195,1.11032317274328,10.312623241486676,0.8328099733981243,-0.1619208860706072,0.2076123755503646,0.5956408080652514,0.0744309625644435,0.8383985059413922,0.0734292099366543,0.3552758008737846,0.0311160160507224,Use in supplement or discussion; BTM is weaker and should not be a main claim.
BTM [g/L],External F4+F5,XGBoostOrHistGB,xgboost,snv,2,29,29,9.245625783627244,0.1570361539274713,6.894558027523688,0.1723030305117254,0.3850575294522752,0.0208864765633002,0.7554698822511832,0.0059890315254667,0.611442698241045,0.0103853013225827,0.2591020770750282,0.0044008263594807,Use in supplement or discussion; BTM is weaker and should not be a main claim.
BTM [g/L],Fermentation F4 Validation,XGBoostOrHistGB,xgboost,airpls_snv,3,14,14,9.749956699161842,0.4596783000099834,7.45267675906893,0.2853638433418129,0.3320317901063969,0.0633703161871024,0.692279316160004,0.0345865466727335,0.644795708953087,0.0303999909426025,0.2732355917560538,0.0128821569362909,Use in supplement or discussion; BTM is weaker and should not be a main claim.
BTM [g/L],Fermentation F4 Validation,XGBoostOrHistGB,xgboost,snv,2,14,14,2.877659409825907,0.0354499901653662,2.42687050615039,0.0308265341476834,0.9418942566814033,0.0014315048779873,0.989519397497484,0.0002793339062009,0.1903087876732546,0.0023444208263019,0.0806443552496752,0.0009934607239243,Use in supplement or discussion; BTM is weaker and should not be a main claim.
BTM [g/L],Fermentation F5 Control,XGBoostOrHistGB,xgboost,airpls_snv,3,15,15,14.893967058170276,1.5601669296696852,12.98190662507657,1.427856084564284,-0.646327341534148,0.3526089531800353,0.6209919585149063,0.0894210013026924,0.984985507599475,0.1031788112031313,0.4173928180710966,0.0437225669220837,Use in supplement or discussion; BTM is weaker and should not be a main claim.
BTM [g/L],Fermentation F5 Control,XGBoostOrHistGB,xgboost,snv,2,15,15,12.551178240212318,0.2312304020834393,11.064399714138766,0.3618906241938406,-0.160840860602396,0.0427650933537133,0.9108654523608222,0.0202468377628863,0.8300494167620225,0.0152920034050731,0.3517378301787669,0.0064800673166773,Use in supplement or discussion; BTM is weaker and should not be a main claim.
BTM [g/L],Fermentation with inline measurement,XGBoostOrHistGB,xgboost,airpls_snv,3,30,30,8.925887340287021,1.8109943592580315,6.880818762094878,0.8004996663771327,0.3561681492447454,0.2691600644668614,0.6946598161081741,0.1012368418931628,0.5902973759986562,0.119766828491475,0.2501416349449892,0.0507518269759374,"Use as domain-shift cautionary evidence, not as a primary positive claim."
BTM [g/L],Fermentation with inline measurement,XGBoostOrHistGB,xgboost,snv,2,30,30,5.730092544831687,0.1414368367200504,4.781435994042287,0.036262088980662,0.7416745225400295,0.0127486986695481,0.9192252145434364,0.0094649432357439,0.3789492813982615,0.0093536687617111,0.1605817621157877,0.0039636666058865,"Use as domain-shift cautionary evidence, not as a primary positive claim."
BTM [g/L],Train F1-F3,XGBoostOrHistGB,xgboost,airpls_snv,3,103,103,0.9598830084310248,0.5195495789226818,0.7407937873148204,0.4040665278090938,0.9951360020157484,0.0037224115759252,0.997751453805936,0.0017202522867799,0.0634801224282884,0.0343594694227234,0.0269000376019904,0.0145600068824665,Use in supplement or discussion; BTM is weaker and should not be a main claim.
BTM [g/L],Train F1-F3,XGBoostOrHistGB,xgboost,snv,2,103,103,0.5380564126849559,0.0608454528000918,0.4100982479804196,0.0514481452307729,0.9987132339140798,0.0002891757636555,0.999380036369897,0.0001582940784113,0.0355833853194215,0.0040239037039189,0.0150786477165331,0.0017051504754813,Use in supplement or discussion; BTM is weaker and should not be a main claim.
Glucose [g/L],External F4+F5,PCR_Ridge,numpy_pcr_ridge,snv,5,29,29,2.1383499312956245,0.0,1.3382895947948752,0.0,0.9955941992137468,0.0,0.9978886982383028,1.2412670766236366e-16,0.0796465069515637,0.0,0.0207164302586284,0.0,Use in main text as positive external Raman soft-sensing evidence.
Glucose [g/L],Fermentation F4 Validation,PCR_Ridge,numpy_pcr_ridge,snv,5,14,14,1.809355912855348,0.0,1.2922211243115254,0.0,0.9964010795405768,0.0,0.9982995367725742,0.0,0.0673925610499919,0.0,0.017529121418866,0.0,Supporting split-level result.
Glucose [g/L],Fermentation F5 Control,PCR_Ridge,numpy_pcr_ridge,snv,5,15,15,2.40514459819888,0.0,1.3812867614135371,0.0,0.994860766143159,1.2412670766236366e-16,0.997870034613844,0.0,0.0895837314353391,0.0,0.023301148984682,0.0,Supporting split-level result.
Glucose [g/L],Fermentation with inline measurement,PCR_Ridge,numpy_pcr_ridge,snv,5,30,30,37.23574966920269,0.0,27.345727620112264,0.0,-0.2642864005412264,0.0,0.7154470028496024,0.0,1.3869092946250976,0.0,0.3607416166363369,0.0,"Use as domain-shift cautionary evidence, not as a primary positive claim."
Glucose [g/L],Train F1-F3,PCR_Ridge,numpy_pcr_ridge,snv,5,103,103,2.660740412067137,0.0,1.68906538699022,0.0,0.9900821398951342,0.0,0.9950309864894308,0.0,0.0991038354501737,0.0,0.0257773727191158,0.0,Supporting split-level result.
Malic acid [g/L],External F4+F5,PCR_Ridge,numpy_pcr_ridge,snv,5,29,29,3.5039469940139925,0.0,2.4595567951736346,0.0,0.9890314227481684,0.0,0.9974462252347168,1.2412670766236366e-16,0.1149641660922492,0.0,0.0319197893299748,0.0,Use in main text as positive external Raman soft-sensing evidence.
Malic acid [g/L],Fermentation F4 Validation,PCR_Ridge,numpy_pcr_ridge,snv,5,14,14,1.8327977943970413,0.0,1.484525625683604,0.0,0.9945275663377562,0.0,0.9981036686408012,0.0,0.0601339205212098,7.757919228897728e-18,0.0166961770773186,0.0,Supporting split-level result.
Malic acid [g/L],Fermentation F5 Control,PCR_Ridge,numpy_pcr_ridge,snv,5,15,15,4.538895776117637,0.0,3.369585886697661,0.0,0.9851286609270355,0.0,0.9986211198472636,0.0,0.1489207367498529,0.0,0.0413478278101512,0.0,Supporting split-level result.
Malic acid [g/L],Fermentation with inline measurement,PCR_Ridge,numpy_pcr_ridge,snv,5,30,30,10.788016624781612,0.0,7.7111678914214865,0.0,0.7901231097956987,0.0,0.9484331028633056,0.0,0.3539537947280906,0.0,0.0982752360522495,0.0,"Use as domain-shift cautionary evidence, not as a primary positive claim."
Malic acid [g/L],Train F1-F3,PCR_Ridge,numpy_pcr_ridge,snv,5,103,103,1.2176117996026914,0.0,0.923753051041358,0.0,0.9983883724585212,0.0,0.9991944721164884,1.2412670766236366e-16,0.0399497268093797,0.0,0.0110920376921815,0.0,Supporting split-level result.
Succinic acid [g/L],External F4+F5,PCR_Ridge,numpy_pcr_ridge,snv,5,29,29,1.1568720813179765,0.0,1.0760168938058952,0.0,0.960743014265755,0.0,0.9955157378615552,1.2412670766236366e-16,0.2432071594132091,0.0,0.0543889963165273,7.757919228897728e-18,Use in main text as positive external Raman soft-sensing evidence.
Succinic acid [g/L],Fermentation F4 Validation,PCR_Ridge,numpy_pcr_ridge,snv,5,14,14,1.2078848335534766,0.0,1.1213124859503132,0.0,0.9027121326035508,1.2412670766236366e-16,0.997492649950901,1.2412670766236366e-16,0.2539314795566354,0.0,0.0567873015727763,0.0,Supporting split-level result.
Succinic acid [g/L],Fermentation F5 Control,PCR_Ridge,numpy_pcr_ridge,snv,5,15,15,1.1071412606713684,0.0,1.0337409305175052,0.0,0.9720183190018122,0.0,0.9951285576107572,0.0,0.2327523374669745,0.0,0.0520509595839918,7.757919228897728e-18,Supporting split-level result.
Succinic acid [g/L],Train F1-F3,PCR_Ridge,numpy_pcr_ridge,snv,5,103,103,0.4657055086732763,0.0,0.3216084163143543,0.0,0.9903207471960946,1.2412670766236366e-16,0.9951508573786336,0.0,0.097904440531122,0.0,0.0218946032191915,0.0,Supporting split-level result.
